"Time","sum(
  container_memory_usage_bytes{namespace=""default"", image!=""""}
) / 1024 / 1024
", "Number of replicas"
2025-05-12 20:14:45,73.9,1
2025-05-12 20:15:00,688,1
2025-05-12 20:15:15,718,1
2025-05-12 20:15:30,752,1
2025-05-12 20:15:45,852,1
2025-05-12 20:16:00,864,1
2025-05-12 20:16:15,879,1
2025-05-12 20:16:30,891,1
2025-05-12 20:16:45,896,1
2025-05-12 20:17:00,904,1
2025-05-12 20:17:15,915,1
2025-05-12 20:17:30,928,1
2025-05-12 20:17:45,988,1
2025-05-12 20:18:00,1532,2
2025-05-12 20:18:15,1744,2
2025-05-12 20:18:30,1812,2
2025-05-12 20:18:45,1860,2
2025-05-12 20:19:00,1863,2
2025-05-12 20:19:15,1885,2
2025-05-12 20:19:30,1898,2
2025-05-12 20:19:45,1906,2
2025-05-12 20:20:00,1910,2
2025-05-12 20:20:15,1920,2
2025-05-12 20:20:30,2107,5
2025-05-12 20:20:45,3540,5
2025-05-12 20:21:00,3886,5
2025-05-12 20:21:15,4071,5
2025-05-12 20:21:30,4402,5
2025-05-12 20:21:45,4711,5
2025-05-12 20:22:00,4911,5
2025-05-12 20:22:15,5075,5
2025-05-12 20:22:30,5173,5
2025-05-12 20:22:45,5310,5
2025-05-12 20:23:00,5467,5
2025-05-12 20:23:15,5589,5
2025-05-12 20:23:30,5694,5
2025-05-12 20:23:45,5708,5
2025-05-12 20:24:00,5738,5
2025-05-12 20:24:15,5772,5
2025-05-12 20:24:30,5786,5
2025-05-12 20:24:45,5813,5
2025-05-12 20:25:00,5811,5
2025-05-12 20:25:15,5860,5
2025-05-12 20:25:30,5862,5
2025-05-12 20:25:45,6349,10
2025-05-12 20:26:00,9318,10
2025-05-12 20:26:15,10269,10
2025-05-12 20:26:30,10547,10
2025-05-12 20:26:45,10549,10
2025-05-12 20:27:00,10598,10
2025-05-12 20:27:15,10444,10
2025-05-12 20:27:30,10499,10
2025-05-12 20:27:45,10415,10
2025-05-12 20:28:00,10433,10
2025-05-12 20:28:15,10467,10
2025-05-12 20:28:30,10460,10
2025-05-12 20:28:45,10478,10
2025-05-12 20:29:00,10465,10
2025-05-12 20:29:15,10466,10
2025-05-12 20:29:30,10454,10
2025-05-12 20:29:45,10436,10
2025-05-12 20:30:00,10421,10
2025-05-12 20:30:15,10314,10
2025-05-12 20:30:30,10261,10
2025-05-12 20:30:45,10228,10
2025-05-12 20:31:00,10262,10
2025-05-12 20:31:15,10248,10
2025-05-12 20:31:30,10235,10
2025-05-12 20:31:45,10232,10
2025-05-12 20:32:00,10227,10
2025-05-12 20:32:15,10238,10
2025-05-12 20:32:30,10252,10
2025-05-12 20:32:45,10268,10
2025-05-12 20:33:00,10283,10
2025-05-12 20:33:15,10295,10
2025-05-12 20:33:30,10308,10
2025-05-12 20:33:45,10332,10
2025-05-12 20:34:00,10337,10
2025-05-12 20:34:15,10346,10
2025-05-12 20:34:30,10377,10
2025-05-12 20:34:45,10524,10
2025-05-12 20:35:00,10907,10
2025-05-12 20:35:15,11002,10
2025-05-12 20:35:30,11062,10
2025-05-12 20:35:45,11100,10
2025-05-12 20:36:00,11169,10
2025-05-12 20:36:15,11272,10
2025-05-12 20:36:30,11453,10
2025-05-12 20:36:45,11488,10
2025-05-12 20:37:00,11570,10
2025-05-12 20:37:15,11630,10
2025-05-12 20:37:30,11686,10
2025-05-12 20:37:45,11733,10
2025-05-12 20:38:00,11765,10